Year,Month,Day,Source,Title,Body,Link
2013,Jan,15,GDI,2000 coconut seedlings among 2000 families,"The 521 Brigade of Point Pedro launched a livelihood project in Nagar Kovil, Ampan, Kudaththane and Potpathy Grama Niladhari Divisions in Vadamaratchi distributing coconut seedlings to improve the economy of newly resettled people in those areas. In the project launched under the Civil Military Coordination (CIMIC) programme initiated by the Commander Security Forces Jaffna (SF-J) Major General Mahinda Hathurusinghe, 2000 coconut seedlings were given to 340 families. more..",http://www.news.lk/news/sri-lanka/4132-2000-coconut-seedlings-among-2000-families
2013,Feb,7,LT,Student steals coconuts to find money to paint her school,"A 13 year old student has been brought before Court on charges of stealing coconuts to find funds to paint the buildings of the school she is having her education at. She has stolen coconuts as she was unable to find the Rs.800 her school authorities had asked each student to find to raise a fund to paint the buildings. When she was caught she had in her possession 8 coconuts worth Rs.300. The lawyers Thushara Gunaratne and Roshan Dehiwela, who appeared on behalf of more..",http://www.lankatruth.com/english/index.php?option=com_content&view=article&id=4342:student-steals-coconuts-to-find-money-to-paint-her-school-&catid=42:smartphones&Itemid=74
2013,Feb,8,DN,Stealing coconuts to pay for school painting: President orders probe,"President Mahinda Rajapaksa ordered an urgent and special inquiry into the incident where a 13  year - old student in Horana robbed coconuts to pay Rs 800 to school authorities to paint the school, Minister Keheliya Rambukwella said.  He said this incident was extensively discussed during the Cabinet meeting yesterday morning, adding that the President spoke emotionally about the incident, while noting the abhorrent facts related to it. more..",http://www.dailynews.lk/2013/02/08/news02.asp
2013,Feb,10,Island,Editorial : Eight coconuts and a 13-year old,"Last weeks horror story of the 13-year old girl hauled before a magistrate for picking eight fallen coconuts from a neighbours garden grabbed front page space in national newspapers and the electronic media and shocked the conscience of the nation. The only saving grace was that two lawyers from a provincial bar appeared for the child pro deo. What is particularly galling is that the reason for the child helping herself to the coconuts fallen from a kalpa ruksha, more..",http://www.island.lk/index.php?page_cat=news-section&page=news-section&code_title=69
2013,Feb,11,Island,Schooling: Picking and plucking coconuts,"Education Minister Bandula Gunawardena got into hot water a few moons ago for claiming that a family of three could live on a monthly income of Rs. 7,500 if the home economy was frugally managed. He, true to form, flew in the face of common sense in a futile bid to prove his point and cut a very pathetic figure in the process. Today, it has become patently clear that when he plucked that figure out of the air he chose to ignore at least the cost of free education more..",http://www.island.lk/index.php?page_cat=news-section&page=news-section&code_title=55
2013,Feb,14,DN,CAA raids coconut oil selling centres in Pettah,"Consumer Affairs Authority (CAA) officials yesterday raided coconut oil selling centres in Pettah to investigate the complaint that coconut oil was mixed with palm oil by the sellers as the price of palm oil was significantly low in the market. The CAA officials collected the samples from all selling centres and directed them to the laboratory of the Coconut Development Authority to verify whether the consumer protection laws of the country are violated. ""If found guilty, stern action will be more..",http://www.dailynews.lk/2013/02/14/news22.asp
2013,Feb,19,DM,"Coconuts, courts and cultural concoction","The President, an exceedingly nice man, has been moved by the plight of a schoolgirl who stole some coconuts so that her class room could be painted brightly. Kumbhakarna is deeply touched. We know that the President has not been pleased with the Judiciary lately, and this case surely gives him a terrific opportunity to point out the pig-headedness of judges and the inhumanity of our legal system in general. In short, a serious overhaul is in order, and the man has already moved more..",http://www.dailymirror.lk/opinion/172-opinion/25808-coconuts-courts-and-cultural-concoction.html
2013,Feb,19,Island,"'Reducing imports of palm oil, wont slash coconut prices'","The Coconut Growers Association (CGA) of Sri Lanka said yesterday that high import duty on palm oil and the reduction of farm gate price did not necessarily mean that the price paid by the local consumer for coconuts and coconut oil for edible purposes would drastically come down. ""It is only the increase in crop production that can generate a genuine price reduction and such increased production can only be achieved by maintaining a price structure that assures more..",http://www.island.lk/index.php?page_cat=article-details&page=article-details&code_title=72971
2013,Feb,20,DN,Teacher-killer JVP exploits coconut girl,"The manner in which the JVP engaged in mass killings including innocent teachers in the past is an open secret, Western Province Chief Minister Prasanna Ranatunga said. He was making a special statement at a meeting of the WPC in Battaramulla yesterday. The Chief Minister was replying to a statement made earlier by JVP PC member Dr Nalinda Jayatissa. Dr Jayatissa in a statement alleged that an incident which occurred at the Horana Medhankara Vidyalaya recently, more..",http://www.dailynews.lk/2013/02/20/news02.asp
2013,Feb,21,SL,Justice to all: The girl and the coconuts; dual popes and CJs,"The nations sense of justice prevailed in the case of the young girl and the 13 coconuts she is alleged to have stolen to buy paint for her school which her parents could not afford. But it left us, with little or no knowledge jurisprudence, whether justice has really been done. The cops who arrested the girl initially maintained that she had committed a non-bailable offence under the Criminal Procedure Code and that she was duly charged in courts. Those more learned in the law said more..",http://www.thesundayleader.lk/2013/02/17/justice-to-all-the-girl-and-the-coconuts-dual-popes-and-cjs/
2013,Feb,22,NS,Theft of coconuts by minor Police or Mediation Board matter?,"Just eight coconuts, worth no more than 320 rupees. Yet, for stealing them from her neighbors garden a 13-year-old teenagers future has been shred to tatters. And, all because she wanted to raise the money, requested of her, by her school authorities to paint the school buildings.The Grade 8 student of the Horana Medankara Maha Vidyalayas crime committed  early this month was considered a big enough crime to be brought more..",http://www.nation.lk/edition/fine/item/15790-theft-of-coconuts-by-minor-police-or-mediation-board-matter?.html
2013,Apr,27,CT,50% of coconut mills closed in Wayamba,"Some 10,000 workers employed in the coconut mills in the North-Western Province (NWP) have lost their jobs, with the closure of more than 50% of the mills in the Province in the recent past. Although there were 23 coconut mills in the NWP, at present only 11 are functioning, sources said. There are 51 coconut mills registered with the Coconut Development Board islandwide. Out of them, 23 mills are located in the Kurunegala and Puttalam Districts. The main reasons for more..",http://www.ceylontoday.lk/51-30789-news-detail-50-of-coconut-mills-closed-in-wayamba.html
2013,May,28,CT,Sri Lankas culture of impunity and prosecuting for picking coconuts,"Several incidents in the recent past where criminal acts were committed by persons in the presence of law enforcement authorities with impunity, has posed the question whether the criminal law and procedure in our country is selective and of course whether administration of justice is selective. The incidents which comes to mind are the tie up of a public officer to a tree by a minister in the presence of several police officers, govt officials, and the public, the attack more..",http://www.colombotelegraph.com/index.php/sri-lankas-culture-of-impunity-and-prosecuting-for-picking-coconuts/
2013,,,,Drought resistant coconut trees an urgent need: Coconut growers,"July 9 (DM) Climate change has invariably taken its toll on the countrys coconut cultivation considerably and thus, the growers are calling for drought and temperature resistant coconut plants as an urgent need. Despite erratic weather condition, the coconut had the expected crop last year. However, the subject ministry predicts this years production to fall at least by 20 percent due to dry weather prevailing in the Chilaw, Puttalam and Kurunegala areas. We have already had a taste of the changing more..",http://www.dailymirror.lk/business/features/32106-drought-resistant-coconut-trees-an-urgent-need-coconut-growers-.html
