Year,Month,Day,Source,Title,Body,Link
2013,Apr,22,FP,"Target to produce 150,000 mt onion by 2015","Correct and recommended post harvest technology should be adopted in onion cultivation. If not, it would take a long time for the country to become self-sufficient in onions, according to agro engineering experts. It is the aim of the govt to produce a minimum of 150,000 mt of onions by 2015. Currently, the annual production is about 80,000 metric tons. The annual local requirement of big onions is between 200,000 and 220,000 metric tons. The Anuradhapura Post Harvest more..",http://www.freshplaza.com/news_detail.asp?id=108286
2013,Apr,26,Island,Enhanced acreage for big onions,"Big onions would be cultivated in 8,000 hectares this year to increase the harvest to over 100,000 MT to meet half of the local requirement, Agriculture Ministry Secretary W. A. Sakalasuriya said. He said that the govt had to import large amounts of big onions as the farmers were not using correct storage facilities and post-harvest technology. Sakalasuriya added that correct and recommended post-harvest technology should be adopted in big onion cultivation. more..",http://www.island.lk/index.php?page_cat=article-details&page=article-details&code_title=77606
2013,May,16,Island,"Two Indians nabbed with satellite receivers, onion seeds, let off lightly","Bandaranaike International Airport Customs on Tuesday night nabbed two Indian nationals from Chennai attempting to smuggle in 103 satellite receivers and 64 kilos of onion seeds. The two Indian nationals, who arrived on SriLankan Airlines flight UL 141, had the contraband hidden in four bags. The satellite receivers were worth Rs. 500,000 and the seed onion consignment was worth Rs. 300,000, Sri Lanka Customs Director Leslie Gamini told The Island yesterday. more..",http://www.island.lk/index.php?page_cat=article-details&page=article-details&code_title=79120
2013,May,24,DN,"Potatoes, B onions cannot be imported with impunity  Minister","Importers cannot import potatoes and big onions without restriction, said Minister Mahinda Yapa Abeywardane. He said that it is compulsory for all importers of potatoes and big onion to purchase local produce and they only can import these items only during the off season and when there is a lack of local production. Local farmers have to face lots of difficulties to sell their produce due to the importation of these products specially during the harvesting season. more..",http://www.dailynews.lk/2013/05/24/news03.asp
2013,,,,'Sri Lanka to be self-sufficient in big onions by 2015',"June 10  (MEA) Big onion imports to Sri Lanka will stop by 2015 when the island becomes self sufficient in big onions, according to  Minister Basil Rajapaksa.  The self-sufficiency programme will help the country save Rs. 6000 million in foreign-exchange spent annually on importing 200,000 metric tons of big onions. Minister said this at a meeting held at his ministry office in connection with the setting up of a task force for making the more..",http://med.gov.lk/english/?p=17078
2013,,,,Import Tax on Big Onions doubled,July 12 (GDI) The Finance Ministry said that the special import tax on big onions has been doubled to Rs.30 per kilogram with effect from today from the current tax of Rs. 15 per kilogram.  This measure has been taken to ensure good prices for the local big onions which are now being received in large quantities in the market. Minister Basil Rajapaksa said that Sri Lanka will stop big onion imports by 2015 when SL becomes more..,http://www.news.lk/news/sri-lanka/5882-import-tax-on-big-onions-doubled
2013,,,,Duty hike on Lanka onions to hit India,"July 13 (ENS) The Sri Lankan govt on Friday doubled the import duty on onions from LKR 15 per kilo to LKR 30 per kilo, with a view to giving a boost to local production. But the hike may hit India as most of the onions coming into the country are from India. We get about 6,000 mt per month from India, Palaniyandi Sundaram, president of the Colombo Traders Association, said. At LKR 50 per kilo, imports are of the order of LKR 300 more..",http://newindianexpress.com/business/news/Duty-hike-on-Lanka-onions-to-hit-India/2013/07/13/article1681336.ece?
2013,Aug,23,AD,Import tax on potatoes and big onions increased again,"The import tax on potatoes has been increased from Rs.25 to Rs.40 per kg while tax on big onions have been increased from Rs.30 to Rs.35 with effect from today, Finance Ministry stated. It was only on May 3 this year that the Ministry announced that import taxes on Potatoes would be increased by Rs.10 from Rs.15 per kg to Rs.25 per kg. The Ministry announced on June 12 this year that the special import tax on big onions would be doubled from Rs.15 per kg to Rs.30. more..",http://www.adaderana.lk/news.php?nid=23834
2013,Nov,14,Island,Big onion price hike due to external factors,"A sudden increase in big onion prices was due to India stopping export of the commodity and a lorry drivers strike in Pakistan, a spokesman for the Internal Trade and Co-operatives Ministry said. The prices of a kilo of big onions rose from Rs. 160 to Rs. 240 last week and some parties claimed that it was due to a tax increase imposed by the govt, Ministry Spokesman Nipun Ekanayake said. He said that just after the ministry noticed the price increase, officials from the Consumer more..",http://www.island.lk/index.php?page_cat=article-details&page=article-details&code_title=92043
2013,Nov,21,DN,Lanka Sathosa to import 100 containers of big onions to control price rise,"Lanka Sathosa will import 100 containers of big onions to control the rising price and overcome any shortage in the local market. Consumers will be able to buy big onions at a very reasonable retail price at Lanka Sathosa outlets islandwide. With the prevailing shortage of big onions in the open market, the wholesale and retail prices of local and imported big onions have increased. Minister Johnston Fernando has ordered Lanka Sathosa Chairman Nalin Fernando to more..",http://www.dailynews.lk/local/lanka-sathosa-import-100-containers-big-onions-control-price-rise
2014,Jan,18,Island,21 bags of seed onions detected at BIA,"Customs at BIA yesterday took into custody 600 kg of big onion seeds worth Rs. 1.8 million and 60,000 cigarettes worth Rs. 600,000. Customs spokesman Leslie Gamini said that the 28-year-old resident of Colombo, had arrived from Bangalore, with the onion seeds concealed in 21 bags. Asked how a single passenger had been able to check in 21 bags as they exceeded the normal baggage weight allowance, he said it was being investigated. more..",http://www.island.lk/index.php?page_cat=article-details&page=article-details&code_title=96065
2014,Mar,27,FT,"Govt. tags guaranteed price for potato, big onion and dried chillie","The implementation of guaranteed price for potato, big onion and dried chillie will kick off this week in furtherance of the proposal in the Govts 2014 Budget. The official ceremony of signing the Forward Sales Agreement between Lak Sathosa and selected potato farmers has been scheduled to be held tomorrow, at the Ministry of Finance and Planning. Minister Basil Rajapaksa will participate as the Chief Guest more..",http://www.ft.lk/2014/03/27/govt-tags-guaranteed-price-for-potato-big-onion-and-dried-chillie/
2014,Apr,15,SLBC,Farmers have shown a great enthusiasm for big onion cultivation,"A great enthusiasm is shown by big onion cultivators since they received a higher price for their products during the last cultivation season. The agriculture department informed that in addition to the Mahaweli zone cultivators farmers in the districts of Anuradhapura, Polonnaruwa, Mathale, Kurunegala and Puttlam as well as Kilinochchi and Mullaithivu farmers have also come forward to cultivate big onions in the forthcoming season. Accordingly big onions will be cultivated in more..",http://www.slbc.lk/index.php/component/content/article/1-latest-news/19407-farmers-have-shown-a-great-enthusiasm-for-big-onion-cultivation-
2014,May,16,GDI,President inspects Mahasenpura Big Onion Cultivation farm,"President Rajapakse on Sunday visited a big onion cultivation in Mahasenpura thissamaharamaya to review the progress at he farm. The President during the inspection tour, instructed minister Johnston Fernando to arrange a systematic programme to purchase big onions produced by local farmers. The president who had mutual discussion with the big onion farmers in the area, instructed Minister Mahinda Yapa Abeywardena to arrange concessionary more..",http://www.news.lk/news/politics/item/761-president-inspects-mahasenpura-big-onion-cultivation-farm
2014,May,17,DN,Lanka Sathosa provides better price for big onion farmers,"Lanka Sathosa with the idea of of providing a better price for big onion farmers, commenced a program to purchase the big onion harvest from growers at a certified price of Rs. 60 per kilo. Co-operatives and Internal Trade Ministry Spokesman Nipuna Ekanayake said the first stock of big onions cultivated in the Hambantota district was purchased yesterday through Lanka Sathosa on the instructions of President Rajapaksa. He said that Minister Johnston Fernando more..",http://www.dailynews.lk/?q=local/lanka-sathosa-provides-better-price-big-onion-farmers
2014,Aug,11,DM,Imported Big Onions and Potatoes to cost more,The special commodity levy on imported big onions and potatoes was increased from August 12 and August 15 respectively. The Finance Ministry said the special commodity levy for imported big onions was increased from Rs.10 to Rs.25 a kilo while the levy on imported potatoes was increased by from Rs.5 to Rs.15 a kilo. It said the import levy was increased to safeguard the local farmers whose produce is expected to reach the market in a weeks time. more..,http://www.dailymirror.lk/news/50918-imported-big-onions-and-potatoes-to-cost-more.html
2014,Aug,25,DM,Imported levy on Big Onions and Potatoes increased,"The special commodity levy on imported big onions and potatoes had been increased with effect from Aug 23, the Finance Ministry said today. Accordingly the levy for imported big onions was increased from Rs.25 to Rs.35 a kilo while the levy on imported potatoes was increased from Rs.15 to Rs.25 a kilo. It said the import levy was increased to safeguard the local farmers. This is the second occasion, where the ministry more..",http://www.dailymirror.lk/news/51532-imported-levy-on-big-onions-and-potatoes-increased.html
2014,Oct,24,CT,Farmers want more for onions,"Lanka Sathosa on Wednesday started purchasing big onions, without any quota attached, at a fixed price of Rs 60 per kilo, from farmers in the Polpithigala, Kurunegala. Farmers, however, complain that given that the cost of production for big onions, which is in the range of Rs 40-60, the purchase price of Rs 60 was not sufficient to cover costs and are agitating for a price of Rs 80. Nevertheless, thus far, Sathosa has purchased over 600,000 kg of big onions with and without more..",http://www.ceylontoday.lk/51-76245-news-detail-farmers-want-more-for-onions.html
2014,Nov,24,AD,Dambulla onion farmers stage protest,"Big onion farmers in Dambulla staged a protest blocking the Jaffna- Kandy A9 road near the Dambulla Economic Center, this morning (23). A part of the A-9 road from Dambulla clock tower had been closed, and now open for traffic. The farmers alleged that they receive an unfair market price with the authorities not being able to use its controlled price due to importation of onion for several months. The consumer is currently buying onion at the market price of Rs. 80-90 per kilo, more..",http://www.adaderana.lk/news/dambulla-onion-farmers-stage-protest
2014,Nov,28,GDI,Govt. to purchase Big Onions at Rs.90 per Kg,"The Minister of Co-operatives & Internal Trade Johnston Fernando pointed out that the Government has embarked on a programme of purchasing a kilogram of big onions at a guaranteed price of 90 rupees granting a value to the produce of the cultivators under the programme of protecting the local farmers. He said hat the Ministry is making big onion purchases from Dambulla, through the CWE and a kilo is being purchased from cultivators at 90 rupees. more..",http://www.news.lk/news/business/item/4726-govt-to-purchase-big-onions-at-rs-90-per-kg
2014,Dec,3,Island,Import duty on big onions up by Rs. 15 per kilo,"Import duty on a kilo of big onion had been increased by Rs. 15 from yesterday to protect the local farmers, Minister Johnston Fernando said. He said that the decision was taken after discussion with Treasury Secretary Dr. P.B. Jayasundera on the direction of President Rajapaksa. The import duty on a kilo of big onions stood at Rs. 35 and with yesterdays increase it went up to Rs. 50. ""We are buying big onions at Rs. 90 per kilo at present and we will maintain the market price at Rs. 100 more..",http://www.island.lk/index.php?page_cat=article-details&page=article-details&code_title=115273
2014,Dec,13,SL,Plight of onion farmers,Onion farmers in Dambulla accused the govt of importing low quality big onions from India during the local harvesting season. For them there is no other option but to commit suicide as they are forced to sell their crop at a loss because of Indian big onions flooding the market. Onions brought to Dambulla Economic Center are not sold to Colombo and its suburbs as the Colombo markets are flooded with Indian stocks. more..,http://www.thesundayleader.lk/2014/12/07/plight-of-onion-farmers/
