,Item Name,Date,Price
0,Vegetable-Dambulla-Wholesale-Beans ,2015-03-06,140.0
1,Vegetable-Dambulla-Wholesale-Carrot ,2015-03-06,95.0
2,Vegetable-Dambulla-Wholesale-Cabbage ,2015-03-06,33.0
3,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-03-06,45.0
4,Vegetable-Dambulla-Wholesale-Brinjal ,2015-03-06,60.0
5,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-03-06,68.0
6,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-03-06,45.0
7,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-03-06,61.0
8,Other-Dambulla-Wholesale-Coconut ,2015-03-06,43.0
9,Other-Dambulla-Wholesale-Coconut ,2015-03-09,45.0
10,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-03-09,48.0
11,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-03-09,68.0
12,Vegetable-Dambulla-Wholesale-Brinjal ,2015-03-09,45.0
13,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-03-09,59.0
14,Vegetable-Dambulla-Wholesale-Cabbage ,2015-03-09,33.0
15,Vegetable-Dambulla-Wholesale-Carrot ,2015-03-09,95.0
16,Vegetable-Dambulla-Wholesale-Beans ,2015-03-09,120.0
17,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-03-09,55.0
18,Other-Dambulla-Wholesale-Coconut ,2015-03-11,47.0
19,Other-Dambulla-Wholesale-Potatoes (local) ,2015-03-11,88.0
20,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-03-11,59.0
21,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-03-11,40.0
22,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-03-11,64.0
23,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-03-11,43.0
24,Vegetable-Dambulla-Wholesale-Cabbage ,2015-03-11,33.0
25,Vegetable-Dambulla-Wholesale-Carrot ,2015-03-11,93.0
26,Vegetable-Dambulla-Wholesale-Beans ,2015-03-11,110.0
27,Vegetable-Dambulla-Wholesale-Brinjal ,2015-03-11,40.0
28,Other-Dambulla-Wholesale-Big Onions (local) ,2015-03-12,-
29,Other-Dambulla-Wholesale-Coconut ,2015-03-12,48
30,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-03-12,218
31,Other-Dambulla-Wholesale-Potatoes (local) ,2015-03-12,88
32,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-03-12,59
33,Other-Dambulla-Wholesale-Red Onions (local) ,2015-03-12,65
34,Vegetable-Dambulla-Wholesale-Carrot ,2015-03-12,95
35,Vegetable-Dambulla-Wholesale-Pumpkin ,2015-03-12,60
36,Vegetable-Dambulla-Wholesale-Brinjal ,2015-03-12,40
37,Vegetable-Dambulla-Wholesale-Tomatoes ,2015-03-12,38
38,Vegetable-Dambulla-Wholesale-Cabbage ,2015-03-12,38
39,Vegetable-Dambulla-Wholesale-Beans ,2015-03-12,110
40,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-03-12,40
41,Other-Dambulla-Wholesale-Coconut ,2015-03-13,49
42,Other-Dambulla-Wholesale-Dried Chillies (imp) ,2015-03-13,218
43,Other-Dambulla-Wholesale-Potatoes (local) ,2015-03-13,88
44,Other-Dambulla-Wholesale-Big Onions (imp) ,2015-03-13,59
45,Other-Dambulla-Wholesale-Big Onions (local) ,2015-03-13,-
46,Other-Dambulla-Wholesale-Red Onions (local) ,2015-03-13,60
47,Vegetable-Dambulla-Wholesale-Snake gourd ,2015-03-13,38
