,Unnamed: 0,LP 95,LP 92,LAD,LSD,LK,LIK,FUR. 800,FUR 1500 (High),FUR. 1500 (Low)
0,01.05.2025,341.0,293.00,274.0,325.0,178.0,191.0,184.00,184.0,184.0
1,05.04.2025,361.0,299.00,286.0,331.0,183.0,191.0,184.00,184.0,184.0
2,01.04.2025,361.0,299.00,286.0,331.0,183.0,191.0,192.00,192.0,192.0
3,05.03.2025,371.0,309.00,286.0,331.0,183.0,191.0,192.00,192.0,192.0
4,01.02.2025,371.0,309.00,286.0,331.0,183.0,191.0,207.00,207.0,207.0
5,01.01.2025,371.0,309.00,286.0,313.0,183.0,191.0,207.00,207.0,207.0
6,05.12.2024,371.0,309.00,286.0,313.0,188.0,196.0,207.00,207.0,207.0
7,01.12.2024,371.0,309.00,286.0,313.0,188.0,191.0,207.00,207.0,207.0
8,01.11.2024,371.0,311.00,283.0,313.0,183.0,191.0,207.00,207.0,207.0
9,05.10.2024,377.0,311.00,283.0,319.0,183.0,191.0,207.00,207.0,207.0
10,01.10.2024,377.0,311.00,283.0,319.0,183.0,210.0,199.00,199.0,199.0
11,05.09.2024,377.0,332.00,307.0,352.0,202.0,210.0,199.00,199.0,199.0
12,01.09.2024,377.0,332.00,307.0,352.0,202.0,219.0,199.00,199.0,199.0
13,15.07.2024,379.0,344.00,317.0,355.0,202.0,219.0,199.00,199.0,199.0
14,01.07.2024,379.0,344.00,317.0,355.0,202.0,210.0,196.00,196.0,196.0
15,05.06.2024,420.0,355.00,317.0,377.0,202.0,210.0,196.00,196.0,196.0
16,01.06.2024,420.0,355.00,317.0,377.0,202.0,223.0,188.00,188.0,188.0
17,06.05.2024,420.0,368.00,333.0,377.0,215.0,223.0,188.00,188.0,188.0
18,01.05.2024,420.0,368.00,333.0,377.0,215.0,250.0,189.00,189.0,189.0
19,06.04.2024,440.0,371.00,363.0,386.0,245.0,250.0,189.00,189.0,189.0
20,01.04.2024,440.0,371.00,363.0,386.0,245.0,260.0,204.00,204.0,204.0
21,05.03.2024,447.0,371.00,363.0,458.0,257.0,260.0,204.00,204.0,204.0
22,01.02.2024,456.0,371.00,363.0,468.0,262.0,266.0,201.00,201.0,201.0
23,01.01.2024,464.0,366.00,358.0,475.0,236.0,251.0,211.00,211.0,211.0
24,01.12.2023,426.0,346.00,329.0,434.0,247.0,288.0,207.00,207.0,207.0
25,01.11.2023,423.0,356.00,356.0,431.0,249.0,288.0,207.00,207.0,207.0
26,02.10.2023,420.0,365.00,351.0,421.0,242.0,300.0,191.00,191.0,191.0
27,01.09.2023,417.0,361.00,341.0,359.0,231.0,238.0,191.00,191.0,191.0
28,01.08.2023,375.0,348.00,306.0,358.0,226.0,231.0,203.00,203.0,203.0
29,01.07.2023,365.0,328.00,308.0,346.0,236.0,270.0,216.00,216.0,216.0
30,01.06.2023,385.0,318.00,310.0,340.0,245.0,270.0,216.00,216.0,216.0
31,01.05.2023,365.0,333.00,310.0,330.0,295.0,330.0,261.00,261.0,261.0
32,30.03.2023,375.0,340.00,325.0,465.0,295.0,330.0,320.00,320.0,320.0
33,02.03.2023,510.0,400.00,405.0,510.0,305.0,330.0,320.00,320.0,320.0
34,01.02.2023,510.0,400.00,405.0,510.0,355.0,464.0,320.00,320.0,320.0
